epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,192.973,1.39884,2.38044,1.14479,0.02531,0.11546,0.04298,0.02671,1.60186,4.38768,1.30531,3.91194e-05,3.91194e-05,3.91194e-05
68,195.508,1.39551,2.39305,1.11696,0.02529,0.11892,0.04453,0.02763,1.5913,4.37824,1.30181,3.90303e-05,3.90303e-05,3.90303e-05
69,198.31,1.37499,2.35459,1.15291,0.02587,0.11903,0.04566,0.02899,1.58552,4.36708,1.29845,3.89412e-05,3.89412e-05,3.89412e-05
70,201.382,1.36483,2.29437,1.12581,0.10985,0.09009,0.04494,0.02855,1.5834,4.367,1.29488,3.88521e-05,3.88521e-05,3.88521e-05
71,203.789,1.37294,2.36777,1.09959,0.16867,0.07886,0.04478,0.02879,1.57913,4.37037,1.29286,3.8763e-05,3.8763e-05,3.8763e-05
72,206.234,1.34014,2.21468,1.11231,0.317,0.0425,0.04545,0.02915,1.58182,4.37825,1.29478,3.86739e-05,3.86739e-05,3.86739e-05
73,208.75,1.39137,2.32187,1.11308,0.30376,0.04281,0.04567,0.02938,1.58388,4.38898,1.29548,3.85848e-05,3.85848e-05,3.85848e-05
74,211.451,1.35382,2.18013,1.071,0.28099,0.0437,0.04495,0.02926,1.58429,4.40816,1.29963,3.84957e-05,3.84957e-05,3.84957e-05
75,214.581,1.37896,2.21303,1.08425,0.28096,0.05071,0.04527,0.02925,1.5943,4.4203,1.30479,3.84066e-05,3.84066e-05,3.84066e-05
76,217.093,1.34752,2.21368,1.09899,0.29924,0.04966,0.04453,0.02876,1.6072,4.43077,1.31026,3.83175e-05,3.83175e-05,3.83175e-05
77,219.588,1.37311,2.17541,1.08743,0.33184,0.04799,0.04329,0.02788,1.61131,4.4473,1.3127,3.82284e-05,3.82284e-05,3.82284e-05
78,221.945,1.30053,2.08017,1.07832,0.31721,0.04958,0.04305,0.02748,1.60966,4.44468,1.31347,3.81393e-05,3.81393e-05,3.81393e-05
79,224.334,1.34412,2.18894,1.09712,0.02458,0.12103,0.04475,0.0286,1.60811,4.44747,1.31276,3.80502e-05,3.80502e-05,3.80502e-05
80,227.364,1.34313,2.19842,1.08193,0.11988,0.09888,0.04466,0.02871,1.60473,4.4455,1.31074,3.79611e-05,3.79611e-05,3.79611e-05
81,230.078,1.33641,2.03588,1.07951,0.026,0.12856,0.04607,0.0296,1.60178,4.43624,1.3077,3.7872e-05,3.7872e-05,3.7872e-05
82,232.594,1.30343,1.98359,1.07747,0.02814,0.13601,0.04914,0.03145,1.5997,4.41964,1.30667,3.77829e-05,3.77829e-05,3.77829e-05
83,235.185,1.31523,1.95445,1.11441,0.0292,0.13727,0.05039,0.03221,1.59766,4.40416,1.30639,3.76938e-05,3.76938e-05,3.76938e-05
84,237.672,1.37271,1.94119,1.14144,0.03042,0.13936,0.05113,0.03286,1.59446,4.39566,1.30469,3.76047e-05,3.76047e-05,3.76047e-05
85,240.89,1.32555,1.93222,1.0846,0.03136,0.13636,0.05318,0.03411,1.59302,4.38899,1.30467,3.75156e-05,3.75156e-05,3.75156e-05
86,243.722,1.33251,2.05031,1.09006,0.03067,0.13598,0.053,0.03416,1.59247,4.37944,1.30679,3.74265e-05,3.74265e-05,3.74265e-05
87,246.255,1.33026,1.93479,1.05598,0.03074,0.1412,0.05266,0.03367,1.59385,4.37219,1.30751,3.73374e-05,3.73374e-05,3.73374e-05
88,248.736,1.33202,1.95931,1.05233,0.03019,0.13875,0.05243,0.03263,1.6046,4.36564,1.31245,3.72483e-05,3.72483e-05,3.72483e-05
89,251.175,1.35029,2.00138,1.05738,0.03148,0.14247,0.05337,0.0333,1.61346,4.35766,1.3166,3.71592e-05,3.71592e-05,3.71592e-05
90,254.062,1.33506,1.9158,1.08953,0.03176,0.14145,0.05353,0.03248,1.62259,4.35481,1.31958,3.70701e-05,3.70701e-05,3.70701e-05
91,256.877,1.35254,1.85265,1.09156,0.07977,0.12533,0.0533,0.03197,1.63066,4.35366,1.32345,3.6981e-05,3.6981e-05,3.6981e-05
92,259.269,1.28476,1.82986,1.09212,0.1271,0.10945,0.06077,0.03523,1.63216,4.35249,1.32251,3.68919e-05,3.68919e-05,3.68919e-05
93,261.757,1.26829,1.91007,1.08312,0.22587,0.08668,0.0624,0.03636,1.62859,4.35686,1.3197,3.68028e-05,3.68028e-05,3.68028e-05
94,264.26,1.30991,1.78926,1.07351,0.26549,0.08391,0.06351,0.03734,1.62702,4.3601,1.3207,3.67137e-05,3.67137e-05,3.67137e-05
95,267.245,1.25499,1.78023,1.06617,0.29168,0.08135,0.06514,0.03849,1.61996,4.36323,1.31981,3.66246e-05,3.66246e-05,3.66246e-05
96,270.298,1.30697,1.80637,1.06468,0.30744,0.08063,0.06574,0.03914,1.61529,4.37139,1.32041,3.65355e-05,3.65355e-05,3.65355e-05
97,272.805,1.31332,1.80988,1.0809,0.34779,0.07803,0.06815,0.04076,1.61294,4.36799,1.32076,3.64464e-05,3.64464e-05,3.64464e-05
98,275.307,1.26748,1.7558,1.08315,0.33989,0.08031,0.07263,0.04263,1.60994,4.35811,1.31882,3.63573e-05,3.63573e-05,3.63573e-05
99,277.864,1.30679,1.90927,1.07422,0.27615,0.08817,0.07332,0.04319,1.61065,4.3531,1.3169,3.62682e-05,3.62682e-05,3.62682e-05
100,280.563,1.30278,1.75171,1.08309,0.23825,0.08932,0.07225,0.04359,1.60942,4.34406,1.31435,3.61791e-05,3.61791e-05,3.61791e-05
101,283.768,1.33384,1.74744,1.09781,0.20006,0.10157,0.07607,0.04509,1.60891,4.32046,1.30865,3.609e-05,3.609e-05,3.609e-05
102,286.244,1.27838,1.6777,1.06281,0.17189,0.12436,0.07497,0.04538,1.61579,4.32124,1.31127,3.60009e-05,3.60009e-05,3.60009e-05
103,288.791,1.29433,1.6369,1.05511,0.06896,0.14592,0.07583,0.04493,1.6299,4.32422,1.31743,3.59118e-05,3.59118e-05,3.59118e-05
104,291.235,1.2572,1.66963,1.07207,0.1875,0.11128,0.07545,0.04458,1.64188,4.3257,1.32156,3.58227e-05,3.58227e-05,3.58227e-05
105,293.659,1.31953,1.69731,1.06778,0.18537,0.12897,0.07694,0.04534,1.6498,4.33783,1.32473,3.57336e-05,3.57336e-05,3.57336e-05
106,296.834,1.2426,1.55673,1.0654,0.21625,0.10832,0.0755,0.04452,1.65788,4.33431,1.3288,3.56445e-05,3.56445e-05,3.56445e-05
107,299.509,1.25612,1.61624,1.06033,0.22934,0.10873,0.07612,0.04479,1.66217,4.33105,1.33001,3.55554e-05,3.55554e-05,3.55554e-05
108,301.911,1.32855,1.80087,1.07535,0.27771,0.09847,0.07848,0.04601,1.66229,4.32702,1.32869,3.54663e-05,3.54663e-05,3.54663e-05
109,304.458,1.23933,1.61203,1.07721,0.29163,0.09255,0.07206,0.04372,1.65748,4.32078,1.32359,3.53772e-05,3.53772e-05,3.53772e-05
110,306.898,1.25174,1.59634,1.06992,0.29207,0.0947,0.07207,0.04407,1.64993,4.32104,1.32071,3.52881e-05,3.52881e-05,3.52881e-05
