epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,229.565,1.34276,2.14706,1.15062,0.34793,0.07568,0.05718,0.0369,1.54715,4.30426,1.29757,3.69551e-05,3.69551e-05,3.69551e-05
73,232.404,1.37529,2.22001,1.14296,0.20243,0.09918,0.06036,0.0386,1.54573,4.30677,1.29876,3.68699e-05,3.68699e-05,3.68699e-05
74,235.207,1.37458,2.05428,1.08341,0.27038,0.07903,0.06177,0.03918,1.54603,4.31651,1.30208,3.67848e-05,3.67848e-05,3.67848e-05
75,238.197,1.39569,2.11406,1.09309,0.27839,0.07886,0.06098,0.03783,1.55408,4.34457,1.30894,3.66996e-05,3.66996e-05,3.66996e-05
76,241.471,1.37942,2.03187,1.13985,0.18218,0.10116,0.06504,0.03995,1.57322,4.36107,1.32024,3.66145e-05,3.66145e-05,3.66145e-05
77,244.57,1.32607,2.02218,1.10389,0.17053,0.1034,0.06309,0.03894,1.58332,4.36778,1.32631,3.65294e-05,3.65294e-05,3.65294e-05
78,247.364,1.35031,1.97674,1.10916,0.1706,0.1069,0.06467,0.04009,1.58755,4.37851,1.3291,3.64442e-05,3.64442e-05,3.64442e-05
79,250.243,1.3437,1.99385,1.08605,0.1877,0.1075,0.06557,0.04081,1.59375,4.38133,1.33318,3.63591e-05,3.63591e-05,3.63591e-05
80,253.454,1.3307,1.91241,1.13468,0.23732,0.09812,0.06666,0.04138,1.60809,4.36207,1.33718,3.62739e-05,3.62739e-05,3.62739e-05
81,256.709,1.32394,1.95513,1.10387,0.28979,0.09624,0.068,0.04223,1.60297,4.35077,1.33422,3.61888e-05,3.61888e-05,3.61888e-05
82,259.876,1.32329,1.91601,1.10475,0.2654,0.09706,0.0687,0.04322,1.5977,4.35373,1.33051,3.61037e-05,3.61037e-05,3.61037e-05
83,263.056,1.30295,1.90038,1.09205,0.32172,0.0907,0.06808,0.04286,1.59082,4.34403,1.32471,3.60185e-05,3.60185e-05,3.60185e-05
84,266.238,1.28372,1.88513,1.10089,0.34524,0.08657,0.06633,0.04204,1.57367,4.28789,1.31804,3.59334e-05,3.59334e-05,3.59334e-05
85,269.325,1.33076,1.90836,1.13236,0.23626,0.10255,0.06815,0.04394,1.56525,4.25849,1.31276,3.58482e-05,3.58482e-05,3.58482e-05
86,272.228,1.32279,1.78027,1.10261,0.1849,0.11546,0.07556,0.04917,1.55931,4.23341,1.30978,3.57631e-05,3.57631e-05,3.57631e-05
87,275.203,1.36362,1.87023,1.06903,0.16205,0.12339,0.07661,0.0501,1.56165,4.23383,1.31336,3.5678e-05,3.5678e-05,3.5678e-05
88,278.444,1.33035,1.88587,1.10874,0.17744,0.13316,0.08178,0.04894,1.58091,4.23751,1.32406,3.55928e-05,3.55928e-05,3.55928e-05
89,281.53,1.33405,1.77007,1.15004,0.16068,0.13503,0.07568,0.0478,1.59398,4.24424,1.3325,3.55077e-05,3.55077e-05,3.55077e-05
90,284.307,1.29884,1.83767,1.07402,0.11096,0.1732,0.08227,0.04932,1.60052,4.26688,1.33641,3.54225e-05,3.54225e-05,3.54225e-05
91,287.176,1.34211,1.82736,1.07769,0.139,0.17418,0.08117,0.04809,1.59504,4.26966,1.33389,3.53374e-05,3.53374e-05,3.53374e-05
92,290.165,1.29633,1.81133,1.11432,0.21685,0.13077,0.08338,0.04929,1.59546,4.2813,1.33344,3.52523e-05,3.52523e-05,3.52523e-05
93,293.276,1.28326,1.70006,1.08219,0.2467,0.12635,0.08524,0.04945,1.59699,4.28415,1.33319,3.51671e-05,3.51671e-05,3.51671e-05
94,296.216,1.29378,1.81992,1.09658,0.24551,0.1181,0.08458,0.05037,1.59671,4.29013,1.33321,3.5082e-05,3.5082e-05,3.5082e-05
95,299.225,1.31199,1.67165,1.06284,0.25776,0.10996,0.08917,0.05255,1.6017,4.27234,1.33373,3.49968e-05,3.49968e-05,3.49968e-05
96,302.236,1.29599,1.72327,1.09419,0.25096,0.1119,0.09017,0.05286,1.6007,4.25916,1.33151,3.49117e-05,3.49117e-05,3.49117e-05
97,305.629,1.25556,1.65569,1.06221,0.21206,0.13933,0.09159,0.05368,1.6021,4.25554,1.33086,3.48266e-05,3.48266e-05,3.48266e-05
98,308.541,1.29812,1.62875,1.10182,0.21058,0.13789,0.09033,0.05287,1.59748,4.24267,1.32711,3.47414e-05,3.47414e-05,3.47414e-05
99,311.382,1.29689,1.60506,1.05105,0.21062,0.12909,0.08943,0.05344,1.59012,4.23523,1.32304,3.46563e-05,3.46563e-05,3.46563e-05
100,314.188,1.27764,1.59039,1.11215,0.21637,0.13142,0.09023,0.05399,1.5879,4.22439,1.32522,3.45711e-05,3.45711e-05,3.45711e-05
101,317.575,1.27688,1.60052,1.08749,0.1889,0.13601,0.09137,0.05415,1.58668,4.22728,1.32894,3.4486e-05,3.4486e-05,3.4486e-05
102,320.589,1.28348,1.65294,1.06162,0.24404,0.13642,0.0938,0.05453,1.58783,4.24182,1.33394,3.44009e-05,3.44009e-05,3.44009e-05
103,323.605,1.27036,1.57972,1.08573,0.24408,0.13352,0.09147,0.05331,1.59237,4.2489,1.33892,3.43157e-05,3.43157e-05,3.43157e-05
104,326.405,1.26002,1.62661,1.0609,0.244,0.13817,0.0936,0.05505,1.59209,4.29021,1.34418,3.42306e-05,3.42306e-05,3.42306e-05
105,329.843,1.26131,1.54758,1.0574,0.25575,0.13841,0.09738,0.05627,1.59512,4.29745,1.34725,3.41454e-05,3.41454e-05,3.41454e-05
106,332.935,1.26712,1.62971,1.10263,0.24635,0.13839,0.09435,0.05456,1.6021,4.28357,1.34977,3.40603e-05,3.40603e-05,3.40603e-05
